                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.92834,                0.91697,                 1.5111,                0.75558,                0.35945,                  0.368,                0.20149,                 1.3452,                 2.7797,                 2.6166,               0.004555,               0.004555,               0.004555
                     46,                0.94707,                 0.9115,                 1.5396,                0.70285,                0.39062,                0.36823,                0.20249,                 1.1553,                 2.8621,                 2.4645,              0.0044313,              0.0044313,              0.0044313
                     47,                 0.9325,                0.88006,                  1.476,                0.88878,                0.26562,                0.40264,                0.21577,                 1.3556,                 2.7817,                 2.7534,              0.0043075,              0.0043075,              0.0043075
                     48,                0.89555,                0.98131,                 1.5271,                0.85249,                0.29688,                0.42972,                0.22758,                 1.3108,                 2.8063,                 2.6984,              0.0041837,              0.0041837,              0.0041837
                     49,                0.96138,                0.89727,                 1.5511,                0.86795,                0.35938,                0.43166,                0.24363,                 1.3698,                 2.7692,                 2.7182,                0.00406,                0.00406,                0.00406
                     50,                0.90807,                0.85275,                 1.5043,                0.92568,                0.29688,                0.44614,                0.27601,                 1.1479,                 2.7445,                 2.3939,              0.0039362,              0.0039362,              0.0039362
                     51,                0.93285,                0.87426,                 1.5503,                0.89383,                0.23195,                0.39137,                0.20677,                 1.4195,                 2.8371,                 2.7302,              0.0038125,              0.0038125,              0.0038125
                     52,                0.89577,                0.82327,                 1.4682,                0.70656,                0.32812,                0.29476,                0.14214,                 1.5127,                 2.9344,                 2.8859,              0.0036888,              0.0036888,              0.0036888
                     53,                0.92949,                0.93899,                 1.4921,                0.76342,                0.21875,                0.30192,                0.15386,                 1.4648,                 2.9215,                 2.8791,               0.003565,               0.003565,               0.003565
                     54,                 0.8658,                 1.0036,                 1.4975,                0.74875,                0.26304,                0.34724,                0.17965,                  1.509,                 2.8419,                 2.8051,              0.0034413,              0.0034413,              0.0034413
                     55,                0.83138,                0.85378,                 1.4461,                0.69215,                0.26562,                0.35516,                0.16238,                 1.5776,                 2.8904,                 2.9019,              0.0033175,              0.0033175,              0.0033175
                     56,                0.82203,                0.80241,                 1.4345,                 0.6857,                0.29688,                0.33617,                 0.1579,                 1.5616,                 2.8831,                 2.8867,              0.0031938,              0.0031938,              0.0031938
                     57,                0.91046,                0.89757,                 1.5309,                0.72827,                0.40625,                0.45824,                0.22399,                 1.4161,                 2.7506,                 2.6749,                0.00307,                0.00307,                0.00307
